datetime,prefecture,ret_offices,ret_employees,ret_sales
2004-01-01,高知県,12539 ,70378 ,1664090000000 
2007-01-01,高知県,11702 ,66062 ,1593153000000 
2012-01-01,高知県,10624 ,62153 ,1318886000000 
2014-01-01,高知県,10405 ,63683 ,1434686000000 
1988-01-01,福岡県,83090 ,471247 ,21459858000000 
1991-01-01,福岡県,85640 ,499874 ,26637624000000 
1994-01-01,福岡県,80311 ,517061 ,26269707000000 
1997-01-01,福岡県,76821 ,523173 ,28327288000000 
1999-01-01,福岡県,76217 ,541281 ,26648469000000 
2002-01-01,福岡県,70641 ,502759 ,22034564000000 
2004-01-01,福岡県,69401 ,499221 ,21690145000000 
2007-01-01,福岡県,64043 ,479210 ,22126399000000 
2012-01-01,福岡県,60494 ,465612 ,18513169000000 
2014-01-01,福岡県,61620 ,487644 ,18223495000000 
1988-01-01,佐賀県,15752 ,72268 ,1743568000000 
1991-01-01,佐賀県,16016 ,72646 ,2104106000000 
1994-01-01,佐賀県,15222 ,76925 ,2212130000000 
1997-01-01,佐賀県,14604 ,75483 ,2204386000000 
1999-01-01,佐賀県,14329 ,79545 ,2123964000000 
2002-01-01,佐賀県,13301 ,75875 ,1875024000000 
2004-01-01,佐賀県,12657 ,72955 ,1907941000000 
2007-01-01,佐賀県,11969 ,71221 ,1835911000000 
2012-01-01,佐賀県,10672 ,66943 ,1533124000000 
2014-01-01,佐賀県,10626 ,70556 ,1465363000000 
1988-01-01,長崎県,28930 ,128641 ,3062951000000 
1991-01-01,長崎県,27634 ,124884 ,3589144000000 
1994-01-01,長崎県,26784 ,134033 ,3791170000000 
1997-01-01,長崎県,24843 ,127914 ,3794749000000 
1999-01-01,長崎県,25621 ,138639 ,3788907000000 
2002-01-01,長崎県,23569 ,134487 ,3298063000000 
2004-01-01,長崎県,22624 ,128395 ,3359017000000 
2007-01-01,長崎県,20413 ,118872 ,3024321000000 
2012-01-01,長崎県,18444 ,110708 ,2771611000000 
2014-01-01,長崎県,18107 ,112368 ,2787832000000 
1988-01-01,熊本県,31169 ,147960 ,4010082000000 
1991-01-01,熊本県,32155 ,158098 ,5125691000000 
1994-01-01,熊本県,29814 ,161197 ,4932451000000 
1997-01-01,熊本県,27766 ,155859 ,5052698000000 
1999-01-01,熊本県,27769 ,166685 ,4817655000000 
2002-01-01,熊本県,25696 ,162563 ,4184779000000 
2004-01-01,熊本県,25263 ,160822 ,4109728000000 
2007-01-01,熊本県,22976 ,150135 ,3950340000000 
2012-01-01,熊本県,21697 ,144596 ,3365885000000 
2014-01-01,熊本県,21272 ,144523 ,3669910000000 
1988-01-01,大分県,22806 ,106647 ,2465555000000 
1991-01-01,大分県,23060 ,108995 ,2980757000000 
1994-01-01,大分県,21164 ,109391 ,3105192000000 
1997-01-01,大分県,20392 ,109094 ,3182878000000 
1999-01-01,大分県,20160 ,114068 ,3055539000000 
2002-01-01,大分県,18864 ,109890 ,2695568000000 
2004-01-01,大分県,17981 ,104560 ,2585716000000 
2007-01-01,大分県,16218 ,100651 ,2557027000000 
2012-01-01,大分県,14841 ,97332 ,2051594000000 
2014-01-01,大分県,14525 ,95697 ,2153984000000 
1988-01-01,宮崎県,21616 ,98082 ,2555352000000 
1991-01-01,宮崎県,21664 ,102125 ,3196228000000 
1994-01-01,宮崎県,19677 ,100767 ,3054133000000 
1997-01-01,宮崎県,18271 ,98527 ,3037127000000 
1999-01-01,宮崎県,18546 ,104008 ,3022894000000 
2002-01-01,宮崎県,17293 ,101842 ,2696485000000 
2004-01-01,宮崎県,16795 ,100583 ,2690352000000 
2007-01-01,宮崎県,15674 ,95939 ,2586434000000 
2012-01-01,宮崎県,14380 ,91238 ,2206903000000 
2014-01-01,宮崎県,14093 ,91936 ,2404753000000 
1988-01-01,鹿児島県,34111 ,144341 ,3876844000000 
1991-01-01,鹿児島県,33436 ,148112 ,4670520000000 
1994-01-01,鹿児島県,30808 ,150358 ,4689322000000 
1997-01-01,鹿児島県,28407 ,142675 ,4611695000000 
1999-01-01,鹿児島県,28661 ,152786 ,4574972000000 
2002-01-01,鹿児島県,26864 ,149609 ,4331959000000 
2004-01-01,鹿児島県,26158 ,146249 ,4233833000000 
2007-01-01,鹿児島県,23858 ,140281 ,4026665000000 
2012-01-01,鹿児島県,22124 ,136694 ,3532681000000 
2014-01-01,鹿児島県,21901 ,139736 ,3710568000000 
1988-01-01,沖縄県,25493 ,96538 ,1994956000000 
1991-01-01,沖縄県,25307 ,101634 ,2526594000000 
1994-01-01,沖縄県,23309 ,103979 ,2461954000000 
1997-01-01,沖縄県,21206 ,97520 ,2509305000000 
1999-01-01,沖縄県,21564 ,106980 ,2675137000000 
2002-01-01,沖縄県,20123 ,108486 ,2492057000000 
2004-01-01,沖縄県,19320 ,110759 ,2485060000000 
2007-01-01,沖縄県,17926 ,107623 ,2605252000000 
2012-01-01,沖縄県,16135 ,105690 ,2125179000000 
2014-01-01,沖縄県,16150 ,111656 ,2348786000000 
