datetime,prefecture,ret_offices,ret_employees,ret_sales
1991-01-01,北海道,82431 ,523590 ,24761277000000 
1994-01-01,北海道,77174 ,540385 ,23422041000000 
1997-01-01,北海道,71872 ,521721 ,23943919000000 
1999-01-01,北海道,71980 ,547818 ,22300001000000 
2002-01-01,北海道,66506 ,516518 ,20247834000000 
2004-01-01,北海道,64471 ,502536 ,19728125000000 
2007-01-01,北海道,58236 ,463793 ,17819365000000 
2012-01-01,北海道,57265 ,455615 ,15474987000000 
2014-01-01,北海道,58090 ,471751 ,16455227000000 
1988-01-01,青森県,26230 ,124869 ,3319602000000 
1991-01-01,青森県,26307 ,126304 ,3947389000000 
1994-01-01,青森県,24644 ,129906 ,4157179000000 
1997-01-01,青森県,22862 ,125129 ,4297858000000 
1999-01-01,青森県,22866 ,133093 ,4102661000000 
2002-01-01,青森県,21030 ,130458 ,3693933000000 
2004-01-01,青森県,20214 ,125723 ,3577699000000 
2007-01-01,青森県,18672 ,119221 ,3310311000000 
2012-01-01,青森県,16314 ,109099 ,2833757000000 
2014-01-01,青森県,16361 ,112189 ,2994264000000 
1988-01-01,岩手県,25244 ,113999 ,3324065000000 
1991-01-01,岩手県,24826 ,116130 ,3883787000000 
1994-01-01,岩手県,23622 ,122064 ,4255924000000 
1997-01-01,岩手県,22326 ,119396 ,4306151000000 
1999-01-01,岩手県,22062 ,124745 ,4045502000000 
2002-01-01,岩手県,20295 ,118983 ,3525821000000 
2004-01-01,岩手県,19516 ,115600 ,3383463000000 
2007-01-01,岩手県,17922 ,110081 ,3188084000000 
2012-01-01,岩手県,15623 ,102192 ,2856886000000 
2014-01-01,岩手県,15916 ,110259 ,2855776000000 
1988-01-01,宮城県,39225 ,222912 ,11414928000000 
1991-01-01,宮城県,40020 ,236228 ,14640661000000 
1994-01-01,宮城県,37507 ,245089 ,14169359000000 
1997-01-01,宮城県,34539 ,231032 ,13610705000000 
1999-01-01,宮城県,35773 ,255461 ,12579257000000 
2002-01-01,宮城県,32733 ,236848 ,10933309000000 
2004-01-01,宮城県,31706 ,227982 ,10236543000000 
2007-01-01,宮城県,29498 ,230396 ,10601386000000 
2012-01-01,宮城県,26006 ,208915 ,9433322000000 
2014-01-01,宮城県,27452 ,224086 ,10044140000000 
1988-01-01,秋田県,23874 ,104504 ,3129621000000 
1991-01-01,秋田県,23548 ,107701 ,3489763000000 
1994-01-01,秋田県,21868 ,105840 ,3622678000000 
1997-01-01,秋田県,20493 ,103701 ,3751464000000 
1999-01-01,秋田県,20346 ,108970 ,3532500000000 
2002-01-01,秋田県,18047 ,100238 ,2714120000000 
2004-01-01,秋田県,17521 ,98775 ,2626070000000 
2007-01-01,秋田県,15665 ,92958 ,2470794000000 
2012-01-01,秋田県,13947 ,84970 ,2081876000000 
2014-01-01,秋田県,13536 ,86426 ,2075476000000 
1988-01-01,山形県,23782 ,104959 ,3136724000000 
1991-01-01,山形県,23547 ,106955 ,3650875000000 
1994-01-01,山形県,22263 ,111008 ,3683293000000 
1997-01-01,山形県,20814 ,105972 ,3492438000000 
1999-01-01,山形県,20684 ,110372 ,3289943000000 
2002-01-01,山形県,19121 ,107842 ,2968623000000 
2004-01-01,山形県,18592 ,105549 ,2833161000000 
2007-01-01,山形県,16906 ,99082 ,2702748000000 
2012-01-01,山形県,15281 ,92687 ,2210528000000 
2014-01-01,山形県,14982 ,93732 ,2359956000000 
1988-01-01,福島県,35998 ,164033 ,5018163000000 
1991-01-01,福島県,36404 ,174515 ,6286008000000 
1994-01-01,福島県,33864 ,175389 ,6227167000000 
1997-01-01,福島県,32485 ,176035 ,6039323000000 
1999-01-01,福島県,32036 ,180321 ,5483641000000 
2002-01-01,福島県,29802 ,178744 ,4898557000000 
2004-01-01,福島県,28644 ,171586 ,4720635000000 
2007-01-01,福島県,26124 ,164752 ,4670152000000 
2012-01-01,福島県,22512 ,145399 ,3686025000000 
2014-01-01,福島県,22761 ,149337 ,4198631000000 
1988-01-01,茨城県,42210 ,203030 ,6406492000000 
1991-01-01,茨城県,42733 ,210800 ,8236929000000 
1994-01-01,茨城県,40057 ,221501 ,7656383000000 
1997-01-01,茨城県,38974 ,226264 ,7994545000000 
1999-01-01,茨城県,38782 ,247074 ,7866886000000 
2002-01-01,茨城県,35633 ,235483 ,6574412000000 
2004-01-01,茨城県,34642 ,231904 ,6651294000000 
2007-01-01,茨城県,31248 ,214725 ,6869837000000 
2012-01-01,茨城県,30377 ,218371 ,5958757000000 
2014-01-01,茨城県,30491 ,223094 ,6248788000000 
1988-01-01,栃木県,32716 ,156578 ,5318259000000 
1991-01-01,栃木県,32701 ,160509 ,6638527000000 
1994-01-01,栃木県,30548 ,168684 ,5883681000000 
1997-01-01,栃木県,28938 ,165084 ,6143159000000 
1999-01-01,栃木県,29466 ,178145 ,6055821000000 
2002-01-01,栃木県,26936 ,171067 ,5646460000000 
2004-01-01,栃木県,25752 ,165252 ,5472396000000 
2007-01-01,栃木県,23991 ,159909 ,5650308000000 
2012-01-01,栃木県,22578 ,153399 ,4901531000000 
2014-01-01,栃木県,22346 ,158132 ,4565416000000 
1988-01-01,群馬県,32742 ,155939 ,5546325000000 
1991-01-01,群馬県,33038 ,160709 ,7123027000000 
1994-01-01,群馬県,30626 ,167983 ,6495029000000 
1997-01-01,群馬県,28699 ,166671 ,6403462000000 
1999-01-01,群馬県,29560 ,182396 ,6267695000000 
2002-01-01,群馬県,27823 ,180612 ,5362438000000 
2004-01-01,群馬県,26922 ,173901 ,6045598000000 
2007-01-01,群馬県,24771 ,169896 ,6830048000000 
2012-01-01,群馬県,22958 ,164824 ,6254480000000 
2014-01-01,群馬県,22796 ,163824 ,6155549000000 
1988-01-01,埼玉県,73896 ,393471 ,12710247000000 
1991-01-01,埼玉県,75330 ,422684 ,18070796000000 
1994-01-01,埼玉県,70469 ,452780 ,17667863000000 
1997-01-01,埼玉県,66528 ,446444 ,17365362000000 
1999-01-01,埼玉県,68882 ,504982 ,17011066000000 
2002-01-01,埼玉県,63216 ,489542 ,15024770000000 
2004-01-01,埼玉県,58104 ,462440 ,14363838000000 
2007-01-01,埼玉県,56427 ,467022 ,15153850000000 
2012-01-01,埼玉県,57812 ,501145 ,14809070000000 
2014-01-01,埼玉県,58581 ,520389 ,14333482000000 
1988-01-01,千葉県,62793 ,346682 ,10602889000000 
1991-01-01,千葉県,64245 ,406417 ,14269039000000 
1994-01-01,千葉県,62174 ,411336 ,14003369000000 
1997-01-01,千葉県,58340 ,396246 ,13945684000000 
1999-01-01,千葉県,58540 ,431991 ,13427469000000 
2002-01-01,千葉県,54686 ,430162 ,12294183000000 
2004-01-01,千葉県,52569 ,418924 ,11607883000000 
2007-01-01,千葉県,48596 ,414626 ,12322192000000 
2012-01-01,千葉県,48023 ,420021 ,10877497000000 
2014-01-01,千葉県,48366 ,429736 ,10625836000000 
1988-01-01,東京都,216149 ,1617888 ,166787170000000 
1991-01-01,東京都,216768 ,1729349 ,217805390000000 
1994-01-01,東京都,195609 ,1684201 ,195342684000000 
1997-01-01,東京都,183220 ,1545497 ,166562237000000 
1999-01-01,東京都,193280 ,1808136 ,203119015000000 
2002-01-01,東京都,176669 ,1713852 ,176704287000000 
2004-01-01,東京都,171155 ,1665591 ,176898500000000 
2007-01-01,東京都,149965 ,1574020 ,182211327000000 
2012-01-01,東京都,154578 ,1861749 ,162249497000000 
2014-01-01,東京都,157968 ,1945838 ,167859560000000 
1988-01-01,神奈川県,88889 ,530530 ,18844514000000 
1991-01-01,神奈川県,89501 ,547979 ,25496924000000 
1994-01-01,神奈川県,85033 ,591521 ,22513563000000 
1997-01-01,神奈川県,80793 ,577314 ,22320469000000 
1999-01-01,神奈川県,82979 ,654499 ,23037703000000 
2002-01-01,神奈川県,76460 ,632616 ,20028848000000 
2004-01-01,神奈川県,74540 ,621811 ,19818957000000 
2007-01-01,神奈川県,67716 ,605617 ,20946950000000 
2012-01-01,神奈川県,67842 ,627756 ,18373646000000 
2014-01-01,神奈川県,68821 ,666993 ,16933777000000 
1988-01-01,新潟県,46797 ,224352 ,7652424000000 
1991-01-01,新潟県,46532 ,231353 ,9326382000000 
1994-01-01,新潟県,43581 ,233057 ,9347239000000 
1997-01-01,新潟県,40848 ,222917 ,9354318000000 
1999-01-01,新潟県,41295 ,237429 ,8510580000000 
2002-01-01,新潟県,38109 ,229471 ,7330619000000 
2004-01-01,新潟県,36512 ,223858 ,7215214000000 
2007-01-01,新潟県,34087 ,214156 ,7185195000000 
2012-01-01,新潟県,31149 ,200434 ,6270086000000 
2014-01-01,新潟県,30167 ,208482 ,6198269000000 
1988-01-01,富山県,22825 ,105763 ,4004134000000 
1991-01-01,富山県,22855 ,109167 ,4696770000000 
1994-01-01,富山県,21514 ,110971 ,4404329000000 
1997-01-01,富山県,19793 ,105817 ,4435226000000 
1999-01-01,富山県,20882 ,112917 ,3872466000000 
2002-01-01,富山県,18968 ,107992 ,3305066000000 
2004-01-01,富山県,17995 ,103434 ,3278317000000 
2007-01-01,富山県,16409 ,97614 ,3297996000000 
2012-01-01,富山県,14645 ,91075 ,2901044000000 
2014-01-01,富山県,14339 ,92349 ,2758369000000 
1988-01-01,石川県,22264 ,111355 ,4291744000000 
1991-01-01,石川県,22764 ,115668 ,5548117000000 
1994-01-01,石川県,21138 ,117854 ,5195424000000 
1997-01-01,石川県,19964 ,118147 ,5474906000000 
1999-01-01,石川県,20167 ,125261 ,5212840000000 
2002-01-01,石川県,18379 ,117839 ,4280880000000 
2004-01-01,石川県,18091 ,115045 ,4335303000000 
2007-01-01,石川県,16564 ,107999 ,4157618000000 
2012-01-01,石川県,15737 ,106311 ,3457293000000 
2014-01-01,石川県,15563 ,107069 ,3469437000000 
1988-01-01,福井県,16700 ,77684 ,2557701000000 
1991-01-01,福井県,16610 ,79888 ,3047075000000 
1994-01-01,福井県,15437 ,79295 ,3033084000000 
1997-01-01,福井県,14504 ,75746 ,3004517000000 
1999-01-01,福井県,14858 ,82204 ,2779946000000 
2002-01-01,福井県,13731 ,80517 ,2315651000000 
2004-01-01,福井県,13295 ,76940 ,2296069000000 
2007-01-01,福井県,12021 ,73751 ,2230298000000 
2012-01-01,福井県,11075 ,71668 ,1817537000000 
2014-01-01,福井県,11018 ,73687 ,1843056000000 
1988-01-01,山梨県,15985 ,69225 ,1950166000000 
1991-01-01,山梨県,15739 ,69622 ,2301023000000 
1994-01-01,山梨県,14735 ,73549 ,2304621000000 
1997-01-01,山梨県,13597 ,70507 ,2123488000000 
1999-01-01,山梨県,13990 ,76428 ,2164761000000 
2002-01-01,山梨県,13141 ,75420 ,1928163000000 
2004-01-01,山梨県,12361 ,72057 ,1938459000000 
2007-01-01,山梨県,11280 ,68580 ,1899724000000 
2012-01-01,山梨県,10491 ,66474 ,1569718000000 
2014-01-01,山梨県,10320 ,67953 ,1612008000000 
1988-01-01,長野県,36050 ,178074 ,6781124000000 
1991-01-01,長野県,36219 ,183191 ,8366184000000 
1994-01-01,長野県,34595 ,194089 ,8051875000000 
1997-01-01,長野県,32814 ,188211 ,7682091000000 
1999-01-01,長野県,33407 ,204273 ,7406358000000 
2002-01-01,長野県,30731 ,197604 ,6464420000000 
2004-01-01,長野県,29538 ,187479 ,6062901000000 
2007-01-01,長野県,27362 ,183819 ,5832187000000 
2012-01-01,長野県,25547 ,168136 ,4943557000000 
2014-01-01,長野県,25693 ,175556 ,4994846000000 
1988-01-01,岐阜県,37161 ,176275 ,5376986000000 
1991-01-01,岐阜県,37346 ,179844 ,6515201000000 
1994-01-01,岐阜県,34904 ,185928 ,6100767000000 
1997-01-01,岐阜県,33615 ,184750 ,6143871000000 
1999-01-01,岐阜県,33661 ,200100 ,6125140000000 
2002-01-01,岐阜県,30909 ,191204 ,5234017000000 
2004-01-01,岐阜県,29231 ,182493 ,4918143000000 
2007-01-01,岐阜県,27006 ,176723 ,4760601000000 
2012-01-01,岐阜県,25304 ,168471 ,3996899000000 
2014-01-01,岐阜県,24876 ,170085 ,4177811000000 
1988-01-01,静岡県,65091 ,321025 ,12374961000000 
1991-01-01,静岡県,65439 ,327492 ,15869694000000 
1994-01-01,静岡県,62266 ,348165 ,14481618000000 
1997-01-01,静岡県,58614 ,330762 ,14166440000000 
1999-01-01,静岡県,57063 ,347469 ,12513921000000 
2002-01-01,静岡県,53891 ,338914 ,11266379000000 
2004-01-01,静岡県,51112 ,324704 ,10757163000000 
2007-01-01,静岡県,47394 ,317092 ,11054615000000 
2012-01-01,静岡県,45480 ,314916 ,9387809000000 
2014-01-01,静岡県,44711 ,309491 ,9451754000000 
1988-01-01,愛知県,112211 ,679633 ,50039116000000 
1991-01-01,愛知県,112915 ,715931 ,64468286000000 
1994-01-01,愛知県,106764 ,752292 ,56995094000000 
1997-01-01,愛知県,103020 ,733255 ,58859148000000 
1999-01-01,愛知県,101414 ,770562 ,52513230000000 
2002-01-01,愛知県,92110 ,734312 ,41525491000000 
2004-01-01,愛知県,86922 ,698790 ,40882453000000 
2007-01-01,愛知県,80001 ,694512 ,43443249000000 
2012-01-01,愛知県,79439 ,688813 ,36548294000000 
2014-01-01,愛知県,79832 ,730943 ,35673782000000 
1988-01-01,三重県,30314 ,141862 ,3898572000000 
1991-01-01,三重県,30537 ,141560 ,4715181000000 
1994-01-01,三重県,28823 ,151871 ,4495007000000 
1997-01-01,三重県,27739 ,150665 ,4457164000000 
1999-01-01,三重県,27567 ,161925 ,4428882000000 
2002-01-01,三重県,24769 ,151966 ,3828670000000 
2004-01-01,三重県,23265 ,146728 ,3843820000000 
2007-01-01,三重県,21602 ,145169 ,3940384000000 
2012-01-01,三重県,20311 ,140995 ,3332805000000 
2014-01-01,三重県,20413 ,142686 ,3471684000000 
1988-01-01,滋賀県,18254 ,84244 ,2197264000000 
1991-01-01,滋賀県,18541 ,90369 ,2882311000000 
1994-01-01,滋賀県,17632 ,95496 ,2708060000000 
1997-01-01,滋賀県,16640 ,96183 ,2919005000000 
1999-01-01,滋賀県,17326 ,110959 ,2939440000000 
2002-01-01,滋賀県,15941 ,108903 ,2543282000000 
2004-01-01,滋賀県,15310 ,105934 ,2516919000000 
