datetime,prefecture,pop_male,pop_female,pop_sum,pop_households
2002-01-01,東京都,5928897,5976815,11905712,5597805
2002-01-01,神奈川県,4305343,4179401,8484744,3486305
2002-01-01,新潟県,1200911,1269730,2470641,796825
2002-01-01,富山県,541820,580739,1122559,361145
2002-01-01,石川県,568063,608375,1176438,408676
2002-01-01,福井県,401287,426056,827343,256913
2002-01-01,山梨県,435582,449614,885196,313041
2002-01-01,長野県,1077758,1125442,2203200,761702
2002-01-01,岐阜県,1027831,1081182,2109013,687089
2002-01-01,静岡県,1857941,1908818,3766759,1314562
2002-01-01,愛知県,3484455,3480328,6964783,2559770
2002-01-01,三重県,903906,954214,1858120,657473
2002-01-01,滋賀県,661072,680333,1341405,445556
2002-01-01,京都府,1239179,1324165,2563344,1024463
2002-01-01,大阪府,4232750,4403467,8636217,3574895
2002-01-01,兵庫県,2686069,2864350,5550419,2137659
2002-01-01,奈良県,695889,749619,1445508,515811
2002-01-01,和歌山県,516340,567051,1083391,404897
2002-01-01,鳥取県,295452,321190,616642,212529
2002-01-01,島根県,362924,396379,759303,263808
2002-01-01,岡山県,943592,1013636,1957228,717452
2002-01-01,広島県,1389392,1479619,2869011,1140136
2002-01-01,山口県,721131,801565,1522696,611689
2002-01-01,徳島県,396753,432432,829185,300064
2002-01-01,香川県,496945,534525,1031470,382602
2002-01-01,愛媛県,713710,791337,1505047,593489
2002-01-01,高知県,385608,430446,816054,338237
2002-01-01,福岡県,2377894,2612600,4990494,1972564
2002-01-01,佐賀県,418405,462260,880665,289372
2002-01-01,長崎県,717470,804670,1522140,582875
2002-01-01,熊本県,885443,983632,1869075,678399
2002-01-01,大分県,582781,648752,1231533,471746
2002-01-01,宮崎県,559992,622070,1182062,466257
2002-01-01,鹿児島県,837195,942962,1780157,748869
2002-01-01,沖縄県,663602,679522,1343124,480792
2003-01-01,北海道,2709851,2953005,5662856,2496182
2003-01-01,青森県,712593,774858,1487451,547986
2003-01-01,岩手県,681844,729332,1411176,485466
2003-01-01,宮城県,1148981,1201151,2350132,848185
2003-01-01,秋田県,562929,619096,1182025,408430
2003-01-01,山形県,595976,636602,1232578,385731
2003-01-01,福島県,1036167,1086446,2122613,710409
2003-01-01,茨城県,1496635,1497111,2993746,1029068
2003-01-01,栃木県,997348,1008119,2005467,693066
2003-01-01,群馬県,999994,1022672,2022666,711305
2003-01-01,埼玉県,3512939,3441337,6954276,2618360
2003-01-01,千葉県,3007770,2970517,5978287,2314450
2003-01-01,東京都,5970143,6026317,11996460,5692903
2003-01-01,神奈川県,4332855,4214002,8546857,3548584
2003-01-01,新潟県,1196888,1266852,2463740,803703
2003-01-01,富山県,540953,579890,1120843,364625
2003-01-01,石川県,567794,608306,1176100,413137
2003-01-01,福井県,401092,425308,826400,259075
2003-01-01,山梨県,434873,449297,884170,316304
2003-01-01,長野県,1077267,1125466,2202733,769904
2003-01-01,岐阜県,1028177,1081008,2109185,694599
2003-01-01,静岡県,1859716,1910060,3769776,1331253
2003-01-01,愛知県,3501584,3496443,6998027,2598433
2003-01-01,三重県,904046,954068,1858114,665056
2003-01-01,滋賀県,664171,684070,1348241,453074
2003-01-01,京都府,1238084,1325689,2563773,1036184
2003-01-01,大阪府,4231157,4412520,8643677,3616094
2003-01-01,兵庫県,2688908,2872314,5561222,2164036
2003-01-01,奈良県,693500,748471,1441971,520383
2003-01-01,和歌山県,514075,564980,1079055,408330
2003-01-01,鳥取県,295019,320793,615812,214843
2003-01-01,島根県,361747,395023,756770,265893
2003-01-01,岡山県,943324,1013989,1957313,724832
2003-01-01,広島県,1390048,1480494,2870542,1151261
2003-01-01,山口県,718946,799008,1517954,616278
2003-01-01,徳島県,395796,431290,827086,302931
2003-01-01,香川県,496913,534272,1031185,386420
2003-01-01,愛媛県,712780,789716,1502496,599575
2003-01-01,高知県,384295,428942,813237,340259
2003-01-01,福岡県,2382027,2619565,5001592,1998460
2003-01-01,佐賀県,417515,461282,878797,291597
2003-01-01,長崎県,715043,801877,1516920,587014
2003-01-01,熊本県,883969,982584,1866553,684616
2003-01-01,大分県,581851,647808,1229659,475887
2003-01-01,宮崎県,558844,621139,1179983,471266
2003-01-01,鹿児島県,835072,940564,1775636,754556
2003-01-01,沖縄県,668790,684422,1353212,490788
2004-01-01,北海道,2701143,2949430,5650573,2522295
2004-01-01,青森県,707870,771488,1479358,551806
2004-01-01,岩手県,678479,726581,1405060,488354
2004-01-01,宮城県,1147848,1202178,2350026,856527
2004-01-01,秋田県,558386,615336,1173722,410308
2004-01-01,山形県,592192,633798,1225990,387732
2004-01-01,福島県,1032608,1083602,2116210,716505
2004-01-01,茨城県,1495404,1496400,2991804,1039865
2004-01-01,栃木県,997986,1008731,2006717,701919
2004-01-01,群馬県,999865,1022915,2022780,719576
