datetime,prefecture,wag_age,wag_salary,wag_bonus,wag_workers
2010-01-01,石川県,41.9,289800,658200,193820
2010-01-01,福井県,42.2,290900,637400,142140
2010-01-01,山梨県,41.7,298400,629500,117810
2010-01-01,長野県,41.9,295000,610400,338310
2010-01-01,岐阜県,41.5,304800,670200,278070
2010-01-01,静岡県,41.1,310300,767900,623870
2010-01-01,愛知県,40.1,349200,983800,1445610
2010-01-01,三重県,40.9,328800,867200,288440
2010-01-01,滋賀県,40.3,322600,787600,195940
2010-01-01,京都府,41.4,323600,783100,298770
2010-01-01,大阪府,40.8,339900,813000,1326410
2010-01-01,兵庫県,41.5,323500,873000,679010
2010-01-01,奈良県,41.6,304000,703200,130490
2010-01-01,和歌山県,41.2,295000,709700,104740
2010-01-01,鳥取県,41.5,254200,521100,95350
2010-01-01,島根県,42.0,263400,552100,103560
2010-01-01,岡山県,41.4,294300,691400,278940
2010-01-01,広島県,41.7,309300,758400,520730
2010-01-01,山口県,42.6,300000,733000,244700
2010-01-01,徳島県,41.8,287600,727600,94040
2010-01-01,香川県,41.5,290800,694200,143030
2010-01-01,愛媛県,41.7,282500,681600,215210
2010-01-01,高知県,42.9,260800,539300,88550
2010-01-01,福岡県,41.6,302500,738700,845860
2010-01-01,佐賀県,42.0,262600,593000,141730
2010-01-01,長崎県,41.9,259900,606900,202520
2010-01-01,熊本県,41.3,272500,610000,269600
2010-01-01,大分県,41.6,273900,601800,168850
2010-01-01,宮崎県,41.7,257400,573700,152100
2010-01-01,鹿児島県,41.7,263100,580100,214800
2010-01-01,沖縄県,40.5,237500,381900,169800
2011-01-01,北海道,42.8,279900,648800,795130
2011-01-01,青森県,42.4,240400,437800,162280
2011-01-01,岩手県,42.7,253200,484400,209770
2011-01-01,宮城県,41.3,303400,710400,268580
2011-01-01,秋田県,42.0,251000,483300,167770
2011-01-01,山形県,41.8,251300,498000,195140
2011-01-01,福島県,41.6,285400,671000,279080
2011-01-01,茨城県,41.1,328100,856700,395020
2011-01-01,栃木県,41.4,315200,760200,344900
2011-01-01,群馬県,41.8,308000,744800,292860
2011-01-01,埼玉県,41.9,320900,762900,863370
2011-01-01,千葉県,41.5,325800,761700,645430
2011-01-01,東京都,40.9,403000,1121000,3135800
2011-01-01,神奈川県,41.3,361500,963200,1050990
2011-01-01,新潟県,42.3,278700,630600,410920
2011-01-01,富山県,42.4,298100,693500,195910
2011-01-01,石川県,41.7,290100,644200,186380
2011-01-01,福井県,42.3,292700,718100,133100
2011-01-01,山梨県,42.1,304000,791400,115260
2011-01-01,長野県,41.5,299100,708500,373920
2011-01-01,岐阜県,41.4,296700,712200,287470
2011-01-01,静岡県,41.6,305100,751000,730830
2011-01-01,愛知県,40.4,341500,993500,1293330
2011-01-01,三重県,41.3,323500,863600,286020
2011-01-01,滋賀県,40.6,330200,806100,185160
2011-01-01,京都府,41.8,335600,965100,314390
2011-01-01,大阪府,40.9,344200,908400,1310570
2011-01-01,兵庫県,41.8,329500,857800,753190
2011-01-01,奈良県,41.2,324800,754400,126910
2011-01-01,和歌山県,42.0,295200,749700,110990
2011-01-01,鳥取県,42.6,260700,564100,79960
2011-01-01,島根県,42.0,269000,596900,114260
2011-01-01,岡山県,42.3,295900,775000,289990
2011-01-01,広島県,41.7,310200,802100,480760
2011-01-01,山口県,42.4,291200,727300,230880
2011-01-01,徳島県,42.3,290300,782500,96210
2011-01-01,香川県,41.5,298600,772800,147540
2011-01-01,愛媛県,41.6,276700,657400,210280
2011-01-01,高知県,42.2,267400,593000,85690
2011-01-01,福岡県,41.2,295200,698400,857450
2011-01-01,佐賀県,42.2,261600,595200,129820
2011-01-01,長崎県,42.7,258100,607300,204180
2011-01-01,熊本県,41.5,273000,631700,271540
2011-01-01,大分県,41.4,265700,606500,168500
2011-01-01,宮崎県,41.9,253500,568500,151410
2011-01-01,鹿児島県,42.8,260500,579900,215060
2011-01-01,沖縄県,41.0,237200,385200,168130
2012-01-01,北海道,42.4,275800,548100,971850
2012-01-01,青森県,42.7,247100,480500,209860
2012-01-01,岩手県,42.7,253700,477200,230700
2012-01-01,宮城県,42.0,294700,661700,385050
2012-01-01,秋田県,43.1,252500,477100,185450
2012-01-01,山形県,42.0,259700,518900,208010
2012-01-01,福島県,41.6,275700,616900,325000
2012-01-01,茨城県,41.9,327300,898400,504070
2012-01-01,栃木県,41.6,313800,806500,367630
2012-01-01,群馬県,41.9,309400,750100,336070
2012-01-01,埼玉県,42.4,325600,709500,947540
2012-01-01,千葉県,41.7,321800,783300,771510
2012-01-01,東京都,40.9,394600,1088400,4268510
2012-01-01,神奈川県,41.7,363300,964600,1344320
2012-01-01,新潟県,42.4,279000,635600,466170
2012-01-01,富山県,42.5,294300,763600,214960
2012-01-01,石川県,41.9,290800,693100,224790
2012-01-01,福井県,42.3,293900,690600,151920
2012-01-01,山梨県,42.2,298900,716000,128570
2012-01-01,長野県,42.2,300300,691600,351100
2012-01-01,岐阜県,41.6,299500,730100,353190
2012-01-01,静岡県,42.2,313800,813100,704150
2012-01-01,愛知県,41.2,347100,1017700,1640320
2012-01-01,三重県,41.4,322900,823300,334200
2012-01-01,滋賀県,41.4,327500,908100,244290
2012-01-01,京都府,42.0,335500,845000,375660
2012-01-01,大阪府,41.7,333400,832100,1708230
2012-01-01,兵庫県,41.7,327000,843600,812600
2012-01-01,奈良県,41.9,311100,705800,137100
2012-01-01,和歌山県,41.2,301600,767700,120700
2012-01-01,鳥取県,42.5,265500,579200,92610
2012-01-01,島根県,42.2,265800,553100,128660
2012-01-01,岡山県,41.9,304200,762100,343320
2012-01-01,広島県,41.6,310600,768300,541980
2012-01-01,山口県,42.8,290300,725300,261850
2012-01-01,徳島県,41.8,279200,730400,110810
2012-01-01,香川県,42.4,290600,681600,147630
2012-01-01,愛媛県,42.5,276900,634300,234470
2012-01-01,高知県,42.3,266800,595100,102840
2012-01-01,福岡県,41.6,299100,713200,1004130
2012-01-01,佐賀県,41.9,258000,577300,144060
2012-01-01,長崎県,43.1,270600,629800,191750
2012-01-01,熊本県,42.1,278800,627500,296010
2012-01-01,大分県,41.4,268700,521700,206130
2012-01-01,宮崎県,42.4,256900,545700,125510
2012-01-01,鹿児島県,42.1,278200,615700,249440
2012-01-01,沖縄県,40.8,250000,389400,210470
2013-01-01,北海道,43.0,281300,626900,938040
2013-01-01,青森県,42.7,253000,481500,226180
2013-01-01,岩手県,42.8,250200,499600,242950
2013-01-01,宮城県,42.9,299900,691000,424780
2013-01-01,秋田県,43.3,248500,493200,179090
2013-01-01,山形県,42.4,258900,548500,213380
2013-01-01,福島県,42.2,287700,614300,322910
2013-01-01,茨城県,42.3,318300,786000,447020
2013-01-01,栃木県,41.8,314900,765100,331600
2013-01-01,群馬県,42.4,308100,714000,309170
2013-01-01,埼玉県,41.9,328900,734600,930920
2013-01-01,千葉県,41.7,328000,717800,793910
2013-01-01,東京都,41.7,393100,1085400,3497260
2013-01-01,神奈川県,41.9,359600,936500,1262460
