datetime,prefecture,mig_in,mig_out,mig_internal
2005-06-01,長崎県,1455,1814,1543
2005-06-01,熊本県,1858,1875,2436
2005-06-01,大分県,1371,1369,1345
2005-06-01,宮崎県,1232,1422,1549
2005-06-01,鹿児島県,1817,1835,2345
2005-06-01,沖縄県,1664,1381,3143
2005-07-01,北海道,4066,3930,16302
2005-07-01,青森県,1646,1738,1509
2005-07-01,岩手県,1412,1501,1568
2005-07-01,宮城県,3436,3736,4708
2005-07-01,秋田県,1108,1171,1067
2005-07-01,山形県,1087,1092,1108
2005-07-01,福島県,2033,2257,2259
2005-07-01,茨城県,3343,3326,3779
2005-07-01,栃木県,2372,2238,2180
2005-07-01,群馬県,1947,1917,2303
2005-07-01,埼玉県,10986,11591,11993
2005-07-01,千葉県,10085,10460,9603
2005-07-01,東京都,27930,24737,27392
2005-07-01,神奈川県,14571,14595,16334
2005-07-01,新潟県,1834,2071,1916
2005-07-01,富山県,958,968,821
2005-07-01,石川県,1272,1250,1118
2005-07-01,福井県,778,735,680
2005-07-01,山梨県,882,1001,1212
2005-07-01,長野県,2108,1994,2768
2005-07-01,岐阜県,1989,2127,2020
2005-07-01,静岡県,4400,4203,4615
2005-07-01,愛知県,8401,7246,12969
2005-07-01,三重県,2116,2101,1999
2005-07-01,滋賀県,1711,1867,1744
2005-07-01,京都府,3542,3727,3870
2005-07-01,大阪府,10713,11707,15989
2005-07-01,兵庫県,6993,7015,8339
2005-07-01,奈良県,1786,2094,1497
2005-07-01,和歌山県,916,1003,901
2005-07-01,鳥取県,740,778,448
2005-07-01,島根県,770,875,467
2005-07-01,岡山県,2064,2183,1821
2005-07-01,広島県,3525,3563,5006
2005-07-01,山口県,1758,2379,1514
2005-07-01,徳島県,693,847,810
2005-07-01,香川県,1482,1582,1192
2005-07-01,愛媛県,1426,1611,1270
2005-07-01,高知県,738,740,847
2005-07-01,福岡県,7172,7038,11913
2005-07-01,佐賀県,1070,1132,991
2005-07-01,長崎県,1871,2248,1599
2005-07-01,熊本県,2582,2261,2524
2005-07-01,大分県,1605,1692,1172
2005-07-01,宮崎県,1694,1669,1633
2005-07-01,鹿児島県,2322,2298,2391
2005-07-01,沖縄県,1786,1425,3147
2005-08-01,北海道,4469,5391,16545
2005-08-01,青森県,2281,2209,1451
2005-08-01,岩手県,1372,1683,1480
2005-08-01,宮城県,3904,3946,4694
2005-08-01,秋田県,1124,1215,888
2005-08-01,山形県,1158,1273,1194
2005-08-01,福島県,2148,2535,2205
2005-08-01,茨城県,4089,4091,3830
2005-08-01,栃木県,3097,2601,2267
2005-08-01,群馬県,2272,2302,2647
2005-08-01,埼玉県,13192,13329,13365
2005-08-01,千葉県,12632,12223,11715
2005-08-01,東京都,31953,28220,30757
2005-08-01,神奈川県,17915,17541,19259
2005-08-01,新潟県,2102,2257,2129
2005-08-01,富山県,1185,1131,892
2005-08-01,石川県,1465,1590,1185
2005-08-01,福井県,912,846,737
2005-08-01,山梨県,998,1186,1106
2005-08-01,長野県,2202,2574,2803
2005-08-01,岐阜県,2337,2620,2329
2005-08-01,静岡県,5371,5127,5166
2005-08-01,愛知県,9697,8966,15037
2005-08-01,三重県,2448,2507,2062
2005-08-01,滋賀県,2386,2152,1695
2005-08-01,京都府,4510,4756,4816
2005-08-01,大阪府,12594,13915,19203
2005-08-01,兵庫県,7926,8001,8841
2005-08-01,奈良県,2102,2504,1766
2005-08-01,和歌山県,1054,1180,1014
2005-08-01,鳥取県,846,944,539
2005-08-01,島根県,1025,1009,558
2005-08-01,岡山県,2389,2564,1778
2005-08-01,広島県,4357,4679,5830
2005-08-01,山口県,2588,2593,1726
2005-08-01,徳島県,912,994,961
2005-08-01,香川県,1628,1569,1224
2005-08-01,愛媛県,1770,1806,1471
2005-08-01,高知県,850,977,1034
2005-08-01,福岡県,9137,8743,14070
2005-08-01,佐賀県,1423,1402,1109
2005-08-01,長崎県,2354,3152,2002
2005-08-01,熊本県,2750,2827,2879
2005-08-01,大分県,1894,1930,1611
2005-08-01,宮崎県,1895,1949,1934
2005-08-01,鹿児島県,2789,2788,3238
2005-08-01,沖縄県,2423,2128,3310
2005-09-01,北海道,3602,4166,15336
2005-09-01,青森県,1497,1643,1395
2005-09-01,岩手県,1213,1325,1428
2005-09-01,宮城県,2862,3193,4624
2005-09-01,秋田県,964,1033,871
2005-09-01,山形県,1011,1037,1212
2005-09-01,福島県,1932,1987,2190
2005-09-01,茨城県,3420,3292,3737
2005-09-01,栃木県,2403,2408,2272
2005-09-01,群馬県,1993,2071,2453
2005-09-01,埼玉県,10671,11309,12301
2005-09-01,千葉県,10530,10311,10166
2005-09-01,東京都,27340,23893,29035
2005-09-01,神奈川県,15091,14368,18269
2005-09-01,新潟県,1674,1844,1877
2005-09-01,富山県,933,946,931
2005-09-01,石川県,1125,1214,1257
2005-09-01,福井県,645,730,767
2005-09-01,山梨県,968,931,1222
2005-09-01,長野県,2060,2186,2814
2005-09-01,岐阜県,2048,2143,2452
2005-09-01,静岡県,4003,3877,4556
2005-09-01,愛知県,7880,7186,14315
2005-09-01,三重県,2040,2099,2190
2005-09-01,滋賀県,2010,1774,1714
2005-09-01,京都府,3786,3906,4249
2005-09-01,大阪府,10373,11463,17930
2005-09-01,兵庫県,6663,6610,8371
2005-09-01,奈良県,1775,2273,1521
2005-09-01,和歌山県,851,1052,960
2005-09-01,鳥取県,601,652,520
2005-09-01,島根県,697,780,626
2005-09-01,岡山県,2069,1952,1849
2005-09-01,広島県,3354,3370,4797
2005-09-01,山口県,1615,1688,1379
2005-09-01,徳島県,669,740,890
2005-09-01,香川県,1186,1227,1267
2005-09-01,愛媛県,1312,1462,1297
2005-09-01,高知県,685,789,895
2005-09-01,福岡県,6249,6370,12424
2005-09-01,佐賀県,1054,1148,918
2005-09-01,長崎県,1637,1965,1492
2005-09-01,熊本県,1998,1958,2265
2005-09-01,大分県,1317,1343,1181
2005-09-01,宮崎県,1359,1514,1514
2005-09-01,鹿児島県,1917,1991,2278
2005-09-01,沖縄県,1682,1545,3161
2005-10-01,北海道,4018,4730,17682
2005-10-01,青森県,1574,1867,1449
2005-10-01,岩手県,1399,1761,1660
2005-10-01,宮城県,3617,4033,4834
2005-10-01,秋田県,1010,1125,953
2005-10-01,山形県,1085,1151,1354
2005-10-01,福島県,2220,2306,2306
2005-10-01,茨城県,4024,3836,4073
2005-10-01,栃木県,2602,2526,2391
2005-10-01,群馬県,2196,2188,2619
2005-10-01,埼玉県,12370,12388,13222
2005-10-01,千葉県,11529,11059,10967
2005-10-01,東京都,29212,26633,30226
2005-10-01,神奈川県,16838,15828,19648
2005-10-01,新潟県,1946,2021,2143
2005-10-01,富山県,1104,1060,1106
2005-10-01,石川県,1402,1453,1442
2005-10-01,福井県,717,812,833
2005-10-01,山梨県,969,1071,1349
2005-10-01,長野県,2312,2437,3274
2005-10-01,岐阜県,2210,2502,2532
2005-10-01,静岡県,4262,4339,5185
2005-10-01,愛知県,9195,8599,15141
2005-10-01,三重県,2388,2359,2322
2005-10-01,滋賀県,2233,2076,1905
2005-10-01,京都府,4271,4332,4431
2005-10-01,大阪府,12310,13197,18622
2005-10-01,兵庫県,7465,7265,8707
2005-10-01,奈良県,2054,2322,1779
2005-10-01,和歌山県,1028,1191,1061
2005-10-01,鳥取県,755,853,596
2005-10-01,島根県,862,859,557
2005-10-01,岡山県,2193,2291,1814
2005-10-01,広島県,3987,3935,5277
2005-10-01,山口県,1816,1844,1527
2005-10-01,徳島県,822,831,971
2005-10-01,香川県,1342,1524,1191
2005-10-01,愛媛県,1419,1592,1273
2005-10-01,高知県,728,867,933
2005-10-01,福岡県,7616,7629,13039
2005-10-01,佐賀県,1246,1257,891
2005-10-01,長崎県,1796,2211,1648
2005-10-01,熊本県,2073,2278,2391
2005-10-01,大分県,1573,1605,1146
2005-10-01,宮崎県,1560,1570,1727
2005-10-01,鹿児島県,2247,2175,2538
2005-10-01,沖縄県,1881,1688,3206
2005-11-01,北海道,2757,3690,15813
2005-11-01,青森県,1141,1466,1439
2005-11-01,岩手県,1108,1154,1600
2005-11-01,宮城県,2366,2502,4804
2005-11-01,秋田県,743,933,849
2005-11-01,山形県,732,868,1166
2005-11-01,福島県,1534,1834,2011
2005-11-01,茨城県,3024,3038,3813
2005-11-01,栃木県,2111,1950,2372
2005-11-01,群馬県,1731,1754,2434
2005-11-01,埼玉県,10882,10500,12610
2005-11-01,千葉県,9469,9228,10714
2005-11-01,東京都,26123,22387,30726
2005-11-01,神奈川県,13847,13594,18163
2005-11-01,新潟県,1403,1564,1870
2005-11-01,富山県,830,813,1089
2005-11-01,石川県,1105,1099,1453
2005-11-01,福井県,513,636,964
2005-11-01,山梨県,817,853,1366
2005-11-01,長野県,1785,1993,3016
2005-11-01,岐阜県,1844,2046,2707
2005-11-01,静岡県,3487,3355,4752
2005-11-01,愛知県,7028,6019,15223
2005-11-01,三重県,1844,1812,2029
2005-11-01,滋賀県,1799,1518,1963
2005-11-01,京都府,3304,3620,4515
2005-11-01,大阪府,9863,10771,18630
2005-11-01,兵庫県,6014,5931,9958
2005-11-01,奈良県,1722,2177,1832
2005-11-01,和歌山県,781,990,1074
2005-11-01,鳥取県,500,584,554
2005-11-01,島根県,611,652,527
2005-11-01,岡山県,1677,1751,1869
2005-11-01,広島県,2736,2797,5270
2005-11-01,山口県,1359,1899,1466
2005-11-01,徳島県,532,623,1100
2005-11-01,香川県,1028,1078,1284
2005-11-01,愛媛県,1045,1152,1245
2005-11-01,高知県,507,613,885
2005-11-01,福岡県,5570,5601,12438
2005-11-01,佐賀県,1029,1039,1041
2005-11-01,長崎県,1282,1610,1667
2005-11-01,熊本県,1614,1694,2312
2005-11-01,大分県,1167,1232,1051
2005-11-01,宮崎県,1206,1280,1525
2005-11-01,鹿児島県,1632,1587,2120
2005-11-01,沖縄県,1421,1336,3096
2005-12-01,北海道,2631,3037,13110
2005-12-01,青森県,991,1260,1314
2005-12-01,岩手県,922,1009,1325
2005-12-01,宮城県,2211,2312,4623
2005-12-01,秋田県,665,744,732
2005-12-01,山形県,728,786,1214
2005-12-01,福島県,1415,1578,1945
2005-12-01,茨城県,3062,3078,3757
2005-12-01,栃木県,1970,1971,2246
2005-12-01,群馬県,1676,1709,2541
2005-12-01,埼玉県,9733,10685,12310
2005-12-01,千葉県,9568,9504,11049
2005-12-01,東京都,25632,22763,32350
2005-12-01,神奈川県,13930,13904,19691
2005-12-01,新潟県,1222,1368,1815
2005-12-01,富山県,693,751,882
2005-12-01,石川県,810,919,1178
2005-12-01,福井県,487,550,693
2005-12-01,山梨県,746,810,1261
2005-12-01,長野県,1696,1663,2618
2005-12-01,岐阜県,1721,1839,2277
2005-12-01,静岡県,3265,3362,4219
2005-12-01,愛知県,6437,5997,14844
2005-12-01,三重県,1766,1588,1915
2005-12-01,滋賀県,1752,1473,1790
2005-12-01,京都府,3320,3658,4739
2005-12-01,大阪府,9375,10859,18972
2005-12-01,兵庫県,6464,5782,9547
2005-12-01,奈良県,1742,1920,1863
2005-12-01,和歌山県,780,904,921
2005-12-01,鳥取県,536,520,523
2005-12-01,島根県,562,648,500
2005-12-01,岡山県,1708,1552,1755
2005-12-01,広島県,2570,2753,4328
2005-12-01,山口県,1398,1271,1277
2005-12-01,徳島県,666,573,981
2005-12-01,香川県,981,967,1227
2005-12-01,愛媛県,1019,1085,1194
2005-12-01,高知県,497,665,837
2005-12-01,福岡県,5393,5072,11714
2005-12-01,佐賀県,912,940,880
2005-12-01,長崎県,1384,1697,1433
2005-12-01,熊本県,1581,1593,2319
2005-12-01,大分県,1112,1083,1069
2005-12-01,宮崎県,1206,1081,1541
2005-12-01,鹿児島県,1718,1418,2115
2005-12-01,沖縄県,1418,1370,3147
2006-01-01,北海道,2353,3342,10679
2006-01-01,青森県,931,1437,1074
2006-01-01,岩手県,921,1101,1219
2006-01-01,宮城県,2279,2490,3588
2006-01-01,秋田県,635,820,607
2006-01-01,山形県,717,825,806
2006-01-01,福島県,1624,1703,1635
2006-01-01,茨城県,2894,2974,3253
2006-01-01,栃木県,2128,1975,2065
2006-01-01,群馬県,1738,1689,2281
2006-01-01,埼玉県,9350,9495,10136
2006-01-01,千葉県,8820,8414,8663
2006-01-01,東京都,25133,20824,25671
2006-01-01,神奈川県,12970,12711,14954
2006-01-01,新潟県,1306,1622,1436
2006-01-01,富山県,787,844,725
2006-01-01,石川県,798,999,1025
2006-01-01,福井県,495,584,531
2006-01-01,山梨県,733,892,1065
2006-01-01,長野県,1573,1773,2426
2006-01-01,岐阜県,1788,1907,1996
2006-01-01,静岡県,3363,3442,4030
2006-01-01,愛知県,7374,6702,12982
2006-01-01,三重県,1873,1821,1652
2006-01-01,滋賀県,1579,1537,1504
